,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
12,86.0,204.0,6.0,84.0,9.0,0.0,0.0,100.0,7.0,8.0,9.0,2.0,42.0,0.0,0.0,3.0,1.0,1.0,0.0,40.0,0.0
13,71.0,178.0,7.0,62.0,20.0,0.0,0.0,67.0,4.0,6.0,21.0,1.0,56.0,0.0,0.0,25.0,2.0,2.0,1.0,100.0,1.0
14,91.0,187.0,6.0,92.0,15.0,0.0,0.0,100.0,8.0,8.0,15.0,3.0,43.0,0.0,0.0,0.0,2.0,3.0,0.0,58.0,0.0
15,86.0,257.0,2.0,94.0,28.0,0.0,0.0,100.0,7.0,8.0,28.0,4.0,25.0,1.0,1.0,1.0,6.0,3.0,0.0,40.0,0.0
16,73.0,125.0,3.0,75.0,19.0,0.0,0.0,95.0,6.0,6.0,19.0,3.0,30.0,2.0,2.0,20.0,2.0,2.0,0.0,60.0,0.0
17,64.0,130.0,3.0,57.0,4.0,2.0,1.0,96.0,6.0,5.0,2.0,3.0,33.0,2.0,2.0,26.0,2.0,1.0,1.0,50.0,1.0
18,69.0,143.0,10.0,63.0,29.0,0.0,0.0,100.0,7.0,8.0,31.0,1.0,27.0,0.0,0.0,5.0,2.0,4.0,0.0,33.0,0.0
19,77.0,99.0,2.0,46.0,14.0,0.0,0.0,100.0,7.0,8.0,14.0,2.0,40.0,1.0,1.0,40.0,4.0,1.0,0.0,88.0,0.0
20,68.0,187.0,2.0,50.0,11.0,3.0,3.0,89.0,6.0,2.0,12.0,1.0,38.0,2.0,2.0,66.0,4.0,4.0,3.0,83.0,0.0
21,87.0,253.0,24.0,86.0,25.0,0.0,0.0,100.0,7.0,8.0,27.0,0.0,32.0,1.0,1.0,1.0,6.0,2.0,0.0,55.0,1.0
22,76.0,166.0,11.0,75.0,15.0,0.0,0.0,100.0,7.0,8.0,15.0,1.0,39.0,1.0,1.0,23.0,3.0,1.0,2.0,67.0,0.0
23,77.0,168.0,4.0,51.0,22.0,0.0,0.0,100.0,7.0,8.0,22.0,3.0,8.0,4.0,4.0,36.0,6.0,1.0,1.0,67.0,0.0
24,90.0,184.0,6.0,78.0,10.0,0.0,0.0,100.0,7.0,8.0,10.0,1.0,50.0,0.0,0.0,29.0,3.0,2.0,0.0,50.0,0.0
25,57.0,255.0,21.0,100.0,14.0,1.0,0.0,74.0,0.0,5.0,15.0,0.0,23.0,0.0,0.0,24.0,2.0,2.0,0.0,67.0,1.0
26,65.0,153.0,1.0,64.0,17.0,1.0,1.0,94.0,6.0,2.0,17.0,4.0,50.0,1.0,1.0,4.0,3.0,1.0,0.0,50.0,1.0
27,83.0,203.0,24.0,91.0,20.0,1.0,1.0,100.0,7.0,8.0,21.0,0.0,26.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,1.0
28,88.0,187.0,3.0,60.0,42.0,0.0,0.0,100.0,7.0,8.0,44.0,5.0,35.0,0.0,0.0,16.0,4.0,2.0,0.0,33.0,0.0
29,86.0,181.0,3.0,78.0,19.0,0.0,0.0,100.0,7.0,8.0,23.0,2.0,27.0,1.0,1.0,11.0,4.0,3.0,0.0,64.0,0.0
30,84.0,514.0,3.0,101.0,16.0,0.0,0.0,100.0,7.0,8.0,17.0,2.0,38.0,1.0,1.0,4.0,3.0,3.0,0.0,58.0,0.0
31,82.0,137.0,16.0,62.0,21.0,0.0,0.0,94.0,6.0,6.0,21.0,0.0,27.0,2.0,2.0,14.0,2.0,2.0,0.0,50.0,0.0
32,88.0,164.0,15.0,95.0,14.0,0.0,0.0,100.0,7.0,8.0,14.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,63.0,1.0
33,75.0,117.0,2.0,62.0,19.0,0.0,0.0,100.0,7.0,8.0,21.0,4.0,20.0,5.0,5.0,8.0,2.0,2.0,1.0,33.0,0.0
34,82.0,158.0,10.0,81.0,6.0,0.0,0.0,100.0,7.0,8.0,6.0,1.0,36.0,0.0,0.0,27.0,1.0,1.0,1.0,50.0,1.0
35,71.0,114.0,5.0,57.0,23.0,1.0,0.0,84.0,6.0,5.0,26.0,1.0,35.0,4.0,4.0,57.0,4.0,1.0,0.0,100.0,1.0
36,85.0,147.0,6.0,61.0,28.0,0.0,0.0,100.0,7.0,8.0,28.0,3.0,50.0,2.0,2.0,93.0,4.0,3.0,2.0,100.0,0.0
37,77.0,148.0,12.0,47.0,18.0,0.0,0.0,100.0,7.0,8.0,18.0,1.0,0.0,1.0,1.0,79.0,3.0,1.0,2.0,50.0,1.0
38,81.0,266.0,16.0,98.0,19.0,0.0,0.0,100.0,7.0,8.0,20.0,0.0,33.0,0.0,0.0,9.0,1.0,1.0,0.0,56.0,1.0
39,89.0,187.0,25.0,107.0,11.0,0.0,0.0,100.0,7.0,8.0,13.0,0.0,44.0,0.0,0.0,9.0,3.0,2.0,0.0,100.0,1.0
40,82.0,187.0,22.0,76.0,19.0,0.0,0.0,100.0,7.0,8.0,19.0,0.0,41.0,0.0,0.0,19.0,2.0,2.0,0.0,60.0,1.0
41,79.0,168.0,16.0,63.0,16.0,0.0,0.0,86.0,6.0,6.0,18.0,0.0,50.0,0.0,0.0,2.0,1.0,3.0,0.0,75.0,0.0
42,78.0,80.0,4.0,32.0,6.0,0.0,0.0,100.0,7.0,8.0,7.0,2.0,36.0,1.0,1.0,5.0,1.0,3.0,0.0,50.0,1.0
43,68.0,117.0,5.0,51.0,16.0,1.0,1.0,88.0,0.0,6.0,16.0,1.0,17.0,1.0,1.0,32.0,2.0,2.0,1.0,63.0,1.0
44,80.0,137.0,4.0,80.0,15.0,0.0,0.0,100.0,7.0,8.0,15.0,1.0,24.0,1.0,1.0,8.0,3.0,2.0,0.0,40.0,1.0
45,74.0,187.0,5.0,92.0,25.0,0.0,0.0,100.0,7.0,8.0,26.0,2.0,25.0,0.0,0.0,0.0,3.0,1.0,0.0,60.0,0.0
46,82.0,178.0,23.0,74.0,14.0,0.0,0.0,100.0,7.0,8.0,14.0,0.0,15.0,1.0,0.0,30.0,1.0,1.0,0.0,45.0,0.0
47,72.0,187.0,2.0,50.0,20.0,0.0,0.0,100.0,7.0,8.0,24.0,5.0,21.0,3.0,3.0,44.0,6.0,5.0,1.0,87.0,1.0
48,84.0,234.0,8.0,79.0,28.0,0.0,0.0,100.0,7.0,8.0,28.0,1.0,27.0,0.0,0.0,3.0,4.0,2.0,0.0,50.0,0.0
49,62.0,187.0,3.0,80.0,22.0,1.0,0.0,92.0,4.0,5.0,22.0,1.0,50.0,1.0,1.0,5.0,2.0,4.0,1.0,80.0,0.0
50,65.0,175.0,5.0,64.0,19.0,1.0,1.0,71.0,4.0,2.0,21.0,1.0,29.0,1.0,1.0,18.0,3.0,1.0,0.0,67.0,1.0
51,81.0,134.0,4.0,61.0,20.0,0.0,0.0,97.0,6.0,6.0,22.0,3.0,33.0,1.0,1.0,5.0,4.0,3.0,0.0,100.0,0.0
52,87.0,164.0,6.0,59.0,15.0,0.0,0.0,100.0,7.0,8.0,17.0,2.0,19.0,0.0,0.0,0.0,2.0,1.0,0.0,43.0,1.0
53,64.0,138.0,5.0,52.0,18.0,2.0,2.0,85.0,6.0,3.0,20.0,3.0,21.0,0.0,0.0,45.0,3.0,2.0,1.0,75.0,1.0
54,65.0,187.0,13.0,69.0,20.0,1.0,1.0,95.0,6.0,6.0,20.0,0.0,33.0,1.0,1.0,21.0,4.0,2.0,0.0,70.0,1.0
55,68.0,202.0,2.0,95.0,20.0,0.0,0.0,100.0,7.0,8.0,21.0,5.0,47.0,0.0,0.0,42.0,4.0,1.0,2.0,100.0,1.0
56,68.0,136.0,17.0,94.0,11.0,1.0,1.0,86.0,6.0,3.0,11.0,0.0,63.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0
57,81.0,164.0,11.0,70.0,18.0,0.0,0.0,100.0,7.0,8.0,18.0,1.0,33.0,2.0,2.0,8.0,4.0,2.0,0.0,80.0,0.0
58,79.0,161.0,6.0,43.0,19.0,0.0,0.0,100.0,7.0,8.0,21.0,1.0,15.0,0.0,0.0,24.0,5.0,2.0,1.0,88.0,1.0
59,89.0,158.0,8.0,75.0,11.0,0.0,0.0,100.0,7.0,8.0,11.0,1.0,43.0,1.0,1.0,5.0,2.0,2.0,0.0,75.0,1.0
60,64.0,199.0,4.0,71.0,18.0,0.0,0.0,100.0,7.0,8.0,18.0,1.0,20.0,1.0,1.0,53.0,2.0,2.0,2.0,50.0,1.0
61,87.0,178.0,11.0,115.0,19.0,0.0,0.0,100.0,7.0,8.0,20.0,1.0,21.0,0.0,0.0,2.0,3.0,1.0,0.0,57.0,1.0
62,83.0,169.0,11.0,69.0,24.0,0.0,0.0,100.0,7.0,8.0,24.0,1.0,60.0,0.0,0.0,6.0,2.0,3.0,0.0,29.0,1.0
63,76.0,138.0,10.0,66.0,18.0,0.0,0.0,100.0,7.0,8.0,19.0,3.0,20.0,0.0,0.0,48.0,3.0,1.0,1.0,50.0,0.0
64,73.0,176.0,5.0,66.0,17.0,0.0,0.0,100.0,7.0,8.0,17.0,3.0,45.0,2.0,2.0,21.0,3.0,3.0,0.0,50.0,1.0
65,83.0,194.0,22.0,77.0,7.0,0.0,0.0,95.0,6.0,6.0,8.0,0.0,50.0,0.0,0.0,2.0,3.0,1.0,0.0,60.0,1.0
66,67.0,133.0,6.0,59.0,18.0,2.0,1.0,89.0,4.0,5.0,21.0,3.0,10.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0,1.0
67,83.0,187.0,4.0,89.0,15.0,0.0,0.0,100.0,7.0,8.0,15.0,4.0,50.0,0.0,0.0,50.0,5.0,2.0,1.0,100.0,0.0
68,64.0,194.0,3.0,71.0,43.0,0.0,0.0,100.0,7.0,8.0,44.0,6.0,52.0,1.0,1.0,86.0,8.0,5.0,2.0,100.0,1.0
69,76.0,233.0,7.0,97.0,29.0,0.0,0.0,94.0,6.0,6.0,30.0,2.0,20.0,0.0,0.0,17.0,4.0,1.0,0.0,57.0,0.0
70,67.0,282.0,2.0,102.0,20.0,0.0,0.0,100.0,7.0,8.0,25.0,2.0,57.0,1.0,1.0,41.0,5.0,5.0,2.0,78.0,1.0
71,72.0,178.0,15.0,79.0,18.0,0.0,0.0,100.0,7.0,8.0,19.0,0.0,29.0,0.0,0.0,12.0,3.0,2.0,0.0,71.0,1.0
72,91.0,175.0,2.0,73.0,16.0,0.0,0.0,100.0,7.0,8.0,16.0,1.0,14.0,1.0,1.0,9.0,3.0,1.0,0.0,43.0,1.0
73,63.0,162.0,1.0,76.0,23.0,0.0,0.0,91.0,6.0,6.0,26.0,2.0,25.0,8.0,8.0,69.0,3.0,5.0,1.0,88.0,0.0
74,80.0,134.0,2.0,84.0,15.0,0.0,0.0,100.0,7.0,8.0,16.0,1.0,29.0,0.0,0.0,0.0,1.0,2.0,0.0,30.0,0.0
75,74.0,117.0,9.0,40.0,10.0,0.0,0.0,92.0,6.0,6.0,10.0,1.0,25.0,1.0,1.0,7.0,2.0,1.0,0.0,67.0,0.0
76,67.0,117.0,8.0,79.0,20.0,0.0,0.0,100.0,7.0,8.0,20.0,1.0,8.0,1.0,1.0,22.0,1.0,1.0,1.0,67.0,1.0
77,72.0,207.0,6.0,91.0,15.0,0.0,0.0,89.0,4.0,6.0,15.0,1.0,33.0,2.0,2.0,5.0,1.0,1.0,0.0,60.0,1.0
78,74.0,137.0,5.0,76.0,31.0,1.0,0.0,97.0,6.0,5.0,31.0,2.0,23.0,3.0,2.0,3.0,5.0,2.0,0.0,56.0,1.0
79,77.0,165.0,2.0,62.0,23.0,0.0,0.0,100.0,7.0,8.0,23.0,2.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,1.0
80,76.0,167.0,8.0,68.0,9.0,0.0,0.0,100.0,7.0,8.0,10.0,1.0,20.0,0.0,0.0,63.0,2.0,1.0,1.0,80.0,1.0
81,70.0,149.0,2.0,57.0,9.0,0.0,0.0,100.0,7.0,8.0,10.0,1.0,23.0,1.0,1.0,67.0,4.0,1.0,2.0,100.0,0.0
82,83.0,187.0,14.0,86.0,14.0,0.0,0.0,100.0,7.0,8.0,14.0,0.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,0.0
83,73.0,140.0,4.0,66.0,30.0,0.0,0.0,100.0,7.0,8.0,32.0,2.0,36.0,2.0,2.0,51.0,4.0,3.0,2.0,29.0,1.0
84,80.0,195.0,13.0,72.0,23.0,0.0,0.0,100.0,7.0,8.0,23.0,0.0,43.0,1.0,1.0,45.0,1.0,2.0,1.0,63.0,1.0
85,65.0,159.0,10.0,83.0,4.0,0.0,0.0,56.0,6.0,6.0,7.0,0.0,50.0,0.0,0.0,98.0,3.0,2.0,2.0,100.0,0.0
86,65.0,161.0,3.0,75.0,13.0,1.0,1.0,100.0,4.0,6.0,13.0,2.0,50.0,1.0,1.0,33.0,6.0,1.0,1.0,80.0,0.0
87,80.0,216.0,11.0,76.0,27.0,0.0,0.0,93.0,6.0,6.0,28.0,1.0,25.0,0.0,0.0,27.0,6.0,2.0,1.0,70.0,1.0
88,75.0,161.0,15.0,81.0,15.0,0.0,0.0,100.0,7.0,8.0,16.0,0.0,35.0,2.0,2.0,77.0,3.0,3.0,1.0,100.0,1.0
89,73.0,159.0,26.0,84.0,19.0,1.0,1.0,100.0,6.0,8.0,21.0,0.0,26.0,0.0,0.0,4.0,3.0,2.0,0.0,64.0,0.0
90,90.0,207.0,11.0,83.0,6.0,0.0,0.0,100.0,7.0,8.0,6.0,1.0,29.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
91,87.0,263.0,22.0,118.0,16.0,0.0,0.0,100.0,7.0,8.0,16.0,0.0,33.0,1.0,1.0,0.0,5.0,2.0,0.0,60.0,0.0
92,91.0,191.0,12.0,85.0,19.0,0.0,0.0,100.0,7.0,8.0,19.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,0.0
93,85.0,199.0,9.0,84.0,13.0,0.0,0.0,100.0,7.0,8.0,14.0,1.0,38.0,0.0,0.0,43.0,2.0,2.0,0.0,67.0,1.0
94,85.0,79.0,6.0,49.0,26.0,0.0,0.0,100.0,7.0,8.0,27.0,1.0,25.0,0.0,0.0,4.0,1.0,2.0,0.0,50.0,1.0
95,90.0,206.0,4.0,64.0,26.0,0.0,0.0,100.0,7.0,8.0,27.0,3.0,25.0,1.0,1.0,8.0,3.0,4.0,0.0,50.0,0.0
96,85.0,206.0,5.0,94.0,29.0,0.0,0.0,100.0,7.0,8.0,34.0,1.0,0.0,1.0,1.0,20.0,4.0,1.0,0.0,25.0,1.0
97,81.0,207.0,1.0,89.0,24.0,1.0,0.0,96.0,6.0,5.0,27.0,2.0,27.0,0.0,0.0,15.0,2.0,2.0,0.0,56.0,0.0
98,64.0,163.0,3.0,85.0,14.0,0.0,0.0,86.0,4.0,6.0,14.0,3.0,33.0,2.0,2.0,48.0,3.0,2.0,1.0,57.0,1.0
99,81.0,154.0,2.0,57.0,26.0,0.0,0.0,100.0,7.0,8.0,29.0,3.0,39.0,1.0,1.0,13.0,5.0,4.0,0.0,50.0,1.0
100,82.0,151.0,2.0,53.0,20.0,0.0,0.0,100.0,7.0,8.0,24.0,2.0,25.0,3.0,3.0,14.0,5.0,1.0,0.0,67.0,0.0
101,83.0,392.0,17.0,96.0,4.0,0.0,0.0,100.0,7.0,8.0,4.0,0.0,41.0,1.0,1.0,18.0,2.0,1.0,0.0,80.0,0.0
102,86.0,189.0,5.0,82.0,16.0,0.0,0.0,100.0,7.0,8.0,17.0,1.0,67.0,0.0,0.0,9.0,3.0,3.0,0.0,56.0,1.0
103,60.0,149.0,12.0,71.0,5.0,1.0,1.0,75.0,4.0,3.0,6.0,0.0,44.0,0.0,0.0,12.0,2.0,2.0,0.0,100.0,0.0
104,69.0,280.0,6.0,74.0,26.0,0.0,0.0,100.0,6.0,6.0,24.0,1.0,29.0,4.0,4.0,64.0,6.0,4.0,2.0,79.0,1.0
105,80.0,176.0,32.0,58.0,12.0,0.0,0.0,100.0,7.0,8.0,12.0,0.0,44.0,0.0,0.0,4.0,1.0,2.0,1.0,63.0,1.0
106,91.0,190.0,13.0,94.0,14.0,0.0,0.0,100.0,7.0,8.0,14.0,0.0,19.0,0.0,0.0,1.0,1.0,2.0,0.0,40.0,1.0
107,59.0,170.0,4.0,77.0,34.0,1.0,1.0,83.0,6.0,5.0,33.0,1.0,60.0,3.0,3.0,18.0,1.0,2.0,0.0,100.0,1.0
108,79.0,187.0,5.0,45.0,20.0,1.0,1.0,100.0,0.0,8.0,21.0,1.0,38.0,1.0,1.0,14.0,3.0,1.0,1.0,56.0,0.0
109,80.0,161.0,5.0,91.0,20.0,0.0,0.0,100.0,7.0,8.0,23.0,1.0,31.0,0.0,0.0,1.0,3.0,2.0,0.0,100.0,0.0
110,84.0,156.0,13.0,75.0,24.0,0.0,0.0,100.0,7.0,8.0,23.0,0.0,41.0,0.0,0.0,26.0,5.0,2.0,0.0,33.0,0.0
111,75.0,76.0,2.0,44.0,25.0,0.0,0.0,100.0,7.0,8.0,25.0,2.0,18.0,2.0,2.0,28.0,3.0,1.0,2.0,44.0,0.0
112,64.0,184.0,20.0,67.0,32.0,1.0,1.0,90.0,0.0,2.0,34.0,0.0,21.0,0.0,0.0,35.0,2.0,3.0,1.0,75.0,1.0
113,86.0,439.0,6.0,142.0,13.0,0.0,0.0,100.0,7.0,8.0,13.0,1.0,25.0,0.0,0.0,31.0,3.0,1.0,0.0,50.0,0.0
114,83.0,146.0,9.0,64.0,16.0,0.0,0.0,100.0,7.0,8.0,16.0,1.0,14.0,0.0,0.0,6.0,4.0,2.0,0.0,50.0,1.0
115,60.0,140.0,8.0,57.0,8.0,0.0,0.0,100.0,7.0,8.0,8.0,1.0,33.0,0.0,0.0,81.0,1.0,2.0,1.0,100.0,0.0
116,74.0,163.0,8.0,76.0,32.0,0.0,0.0,100.0,7.0,8.0,32.0,2.0,38.0,0.0,0.0,44.0,5.0,1.0,1.0,56.0,0.0
117,73.0,152.0,2.0,56.0,21.0,0.0,0.0,100.0,7.0,8.0,22.0,1.0,44.0,0.0,0.0,30.0,1.0,4.0,0.0,100.0,0.0
118,80.0,131.0,3.0,85.0,38.0,0.0,0.0,100.0,7.0,8.0,38.0,2.0,43.0,0.0,0.0,9.0,2.0,2.0,0.0,40.0,1.0
119,78.0,142.0,3.0,55.0,17.0,0.0,0.0,100.0,7.0,8.0,18.0,3.0,63.0,0.0,0.0,71.0,3.0,3.0,2.0,100.0,1.0
120,75.0,175.0,9.0,93.0,13.0,0.0,0.0,100.0,7.0,8.0,13.0,1.0,22.0,1.0,1.0,23.0,5.0,1.0,0.0,50.0,1.0
121,86.0,134.0,12.0,76.0,18.0,0.0,0.0,100.0,7.0,8.0,20.0,1.0,38.0,0.0,0.0,9.0,2.0,2.0,0.0,67.0,1.0
122,63.0,117.0,4.0,50.0,27.0,0.0,0.0,80.0,4.0,6.0,30.0,2.0,43.0,0.0,0.0,28.0,7.0,2.0,1.0,63.0,0.0
123,72.0,209.0,5.0,70.0,23.0,0.0,0.0,97.0,6.0,6.0,23.0,1.0,40.0,4.0,4.0,45.0,2.0,2.0,0.0,50.0,1.0
124,75.0,141.0,3.0,56.0,17.0,0.0,0.0,97.0,4.0,6.0,34.0,3.0,23.0,2.0,2.0,11.0,3.0,1.0,0.0,40.0,0.0
125,78.0,187.0,6.0,78.0,11.0,1.0,1.0,100.0,7.0,8.0,15.0,3.0,13.0,1.0,1.0,5.0,3.0,2.0,1.0,60.0,0.0
126,85.0,187.0,25.0,112.0,13.0,0.0,0.0,100.0,7.0,8.0,13.0,0.0,50.0,0.0,0.0,12.0,3.0,2.0,0.0,100.0,0.0
127,84.0,142.0,9.0,66.0,45.0,0.0,0.0,86.0,6.0,6.0,47.0,1.0,17.0,0.0,0.0,2.0,4.0,1.0,0.0,35.0,1.0
128,80.0,111.0,7.0,67.0,9.0,0.0,0.0,100.0,5.0,7.0,9.0,1.0,57.0,3.0,3.0,4.0,3.0,3.0,1.0,75.0,1.0
129,78.0,118.0,6.0,63.0,30.0,0.0,0.0,100.0,7.0,8.0,30.0,2.0,59.0,0.0,0.0,16.0,5.0,4.0,1.0,64.0,1.0
130,83.0,131.0,1.0,58.0,16.0,0.0,0.0,100.0,7.0,8.0,16.0,3.0,21.0,2.0,2.0,0.0,2.0,1.0,0.0,67.0,1.0
131,81.0,214.0,9.0,106.0,16.0,1.0,1.0,100.0,4.0,8.0,18.0,1.0,44.0,0.0,0.0,1.0,2.0,2.0,0.0,33.0,0.0
132,86.0,187.0,5.0,100.0,23.0,0.0,0.0,100.0,7.0,8.0,24.0,2.0,44.0,1.0,1.0,1.0,2.0,1.0,0.0,40.0,0.0
133,80.0,155.0,4.0,67.0,21.0,0.0,0.0,100.0,7.0,8.0,22.0,2.0,31.0,1.0,1.0,3.0,3.0,1.0,0.0,64.0,1.0
134,86.0,221.0,3.0,78.0,16.0,0.0,0.0,100.0,7.0,8.0,28.0,2.0,13.0,1.0,1.0,1.0,4.0,2.0,0.0,71.0,0.0
135,57.0,161.0,7.0,66.0,9.0,2.0,1.0,75.0,4.0,3.0,9.0,0.0,20.0,4.0,4.0,26.0,1.0,2.0,0.0,33.0,1.0
136,76.0,153.0,17.0,82.0,24.0,0.0,0.0,100.0,7.0,8.0,25.0,0.0,9.0,0.0,0.0,32.0,3.0,2.0,1.0,45.0,1.0
137,88.0,187.0,3.0,91.0,17.0,0.0,0.0,100.0,7.0,8.0,17.0,3.0,13.0,3.0,3.0,1.0,1.0,2.0,0.0,25.0,0.0
138,60.0,153.0,5.0,42.0,19.0,1.0,1.0,95.0,6.0,3.0,19.0,1.0,31.0,5.0,5.0,0.0,1.0,3.0,0.0,67.0,0.0
139,73.0,141.0,5.0,71.0,26.0,0.0,0.0,100.0,5.0,7.0,26.0,1.0,36.0,2.0,2.0,27.0,5.0,3.0,1.0,67.0,1.0
140,83.0,138.0,9.0,68.0,14.0,0.0,0.0,100.0,7.0,8.0,15.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,1.0
141,88.0,194.0,18.0,78.0,35.0,0.0,0.0,100.0,7.0,8.0,35.0,0.0,42.0,0.0,0.0,0.0,7.0,2.0,0.0,43.0,0.0
142,79.0,111.0,7.0,58.0,8.0,0.0,0.0,100.0,7.0,8.0,11.0,1.0,25.0,1.0,1.0,23.0,1.0,1.0,0.0,50.0,1.0
143,88.0,217.0,9.0,95.0,21.0,1.0,0.0,95.0,6.0,5.0,24.0,1.0,14.0,0.0,0.0,2.0,2.0,2.0,0.0,45.0,0.0
144,82.0,251.0,2.0,115.0,26.0,0.0,0.0,95.0,6.0,6.0,30.0,3.0,22.0,0.0,0.0,25.0,2.0,2.0,1.0,25.0,0.0
145,90.0,187.0,9.0,93.0,22.0,0.0,0.0,100.0,7.0,8.0,22.0,1.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0,67.0,1.0
146,71.0,170.0,9.0,87.0,14.0,1.0,1.0,100.0,6.0,8.0,15.0,2.0,34.0,0.0,0.0,22.0,3.0,2.0,0.0,71.0,1.0
147,76.0,284.0,12.0,112.0,11.0,1.0,1.0,100.0,7.0,8.0,11.0,0.0,45.0,0.0,0.0,14.0,2.0,2.0,0.0,83.0,1.0
148,89.0,178.0,12.0,113.0,20.0,0.0,0.0,100.0,5.0,7.0,21.0,0.0,39.0,1.0,1.0,0.0,0.0,1.0,0.0,43.0,1.0
149,57.0,163.0,11.0,66.0,13.0,0.0,0.0,95.0,4.0,6.0,13.0,1.0,38.0,0.0,0.0,81.0,1.0,4.0,2.0,75.0,0.0
150,71.0,140.0,5.0,61.0,15.0,1.0,1.0,96.0,6.0,6.0,16.0,4.0,27.0,2.0,2.0,0.0,2.0,3.0,0.0,50.0,1.0
151,85.0,126.0,5.0,53.0,4.0,0.0,0.0,100.0,7.0,8.0,5.0,2.0,35.0,0.0,0.0,7.0,4.0,2.0,0.0,58.0,0.0
152,78.0,151.0,4.0,61.0,20.0,1.0,1.0,100.0,7.0,8.0,23.0,1.0,50.0,0.0,0.0,20.0,2.0,2.0,0.0,83.0,0.0
153,87.0,190.0,5.0,59.0,14.0,0.0,0.0,100.0,7.0,8.0,16.0,2.0,38.0,1.0,1.0,3.0,0.0,1.0,0.0,38.0,1.0
154,80.0,172.0,13.0,61.0,10.0,0.0,0.0,100.0,7.0,8.0,10.0,0.0,20.0,5.0,5.0,1.0,2.0,1.0,0.0,50.0,0.0
155,78.0,125.0,7.0,63.0,16.0,0.0,0.0,100.0,7.0,8.0,16.0,1.0,23.0,0.0,0.0,18.0,5.0,2.0,1.0,47.0,1.0
